"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0400000US37","North Carolina","10584340","*****","6695587","8580","2178329","7224","110873","2406","333844","2917","6153","667","506289","8574","753265","12054","381924","7864","371341","7287",
"0500000US37001","Alamance County, North Carolina","174286","*****","109467","1087","34710","873","831","358","2905","182","51","35","14649","1395","11673","1099","5336","806","6337","953",
"0500000US37003","Alexander County, North Carolina","36440","*****","31804","313","1468","364","331","357","392","64","0","29","809","275","1636","390","289","154","1347","384",
"0500000US37005","Alleghany County, North Carolina","11075","*****","10115","223","164","95","21","23","85","81","0","21","25","36","665","249","410","224","255","109",
"0500000US37007","Anson County, North Carolina","21903","*****","9924","129","10346","311","82","72","339","61","6","9","340","142","866","328","225","130","641","271",
"0500000US37009","Ashe County, North Carolina","26831","*****","25215","344","289","100","115","94","100","46","0","25","175","92","937","312","566","263","371","115",
"0500000US37011","Avery County, North Carolina","17643","*****","15592","201","742","145","42","33","78","90","21","38","509","195","659","199","406","179","253","84",
"0500000US37013","Beaufort County, North Carolina","44597","*****","30698","433","10181","261","41","31","135","109","7","13","974","334","2561","637","1371","544","1190","271",
"0500000US37015","Bertie County, North Carolina","17482","*****","6063","100","10498","167","88","58","136","22","1","3","206","131","490","173","141","87","349","142",
"0500000US37017","Bladen County, North Carolina","29591","*****","16248","285","9928","213","960","237","61","64","0","25","1668","440","726","329","392","296","334","140",
"0500000US37019","Brunswick County, North Carolina","145889","*****","120123","866","11808","616","506","246","908","143","44","68","3393","732","9107","1136","3992","838","5115","634",
"0500000US37021","Buncombe County, North Carolina","271790","*****","225935","1204","14702","917","565","286","3144","337","95","101","5800","1119","21549","1581","13365","1387","8184","932",
"0500000US37023","Burke County, North Carolina","87863","*****","71266","518","5320","368","889","387","2953","255","38","57","3889","730","3508","642","1220","386","2288","468",
"0500000US37025","Cabarrus County, North Carolina","231262","*****","143046","1717","43654","1351","358","236","12408","439","69","86","12968","2138","18759","1930","8566","1580","10193","1506",
